Req Id,Linked Item,Requirement,Output,Output Json
1113,SwC_TfOilTpSv,"Maximum traction power shall be limited according to a linear function and event """"Transformer oil temperature high"""" shall be indicated when the oil temperature exceeds [PH_TfOilTpHi] ÂºC.
","if( HQV_XH_TfOil > PH_TfOilTpHi )
then( HQV_XX_TfOilTpPMax = linear function and HQV_E_TfOilTpHi = TRUE )","{""if"": ""HQV_XH_TfOil > PH_TfOilTpHi"", ""then"": ""HQV_XX_TfOilTpPMax = linear function and HQV_E_TfOilTpHi = TRUE"", ""until"": null}"
1114,SwC_TfOilTpSv,"Maximum traction power shall be limited to max [PX_TfOilTpPMax] % and event """"Transformer oil temperature too high"""" shall be indicated when the oil temperature exceeds [PH_TfOilTpHHi] ÂºC until the temperature falls below the reset level [PH_TfOilTpRstOp] ÂºC.","if( HQV_XH_TfOil > PH_TfOilTpHHi )
then( HQV_XX_TfOilTpPMax = PX_TfOilTpPMax and HQV_E_TfOilTpHHi = TRUE)
until( HQV_XH_TfOil < PH_TfOilTpRstOp )","{""if"": ""HQV_XH_TfOil > PH_TfOilTpHHi"", ""then"": ""HQV_XX_TfOilTpPMax = PX_TfOilTpPMax and HQV_E_TfOilTpHHi = TRUE"", ""until"": ""HQV_XH_TfOil < PH_TfOilTpRstOp""}"
1115,SwC_TfOilTpSv,"The AC LCB shall be opened within 5s , and event 'Transformer oil temperature extremely high' shall be indicated when the oil temperature is exceeding [PH_TfOilTpExHi] ÂºC until the temperature falls below the reset level [PH_TfOilTpRstOp] ÂºC.","if( HQV_XH_TfOil > PH_TfOilTpExHi )
then( HQV_C_AcLcbOpTfOilTpExHi = TRUE and HQV_E_TfOilTpExHi = TRUE )
until( HQV_XH_TfOil < PH_TfOilTpRstOp )","{""if"": ""HQV_XH_TfOil > PH_TfOilTpExHi"", ""then"": ""HQV_C_AcLcbOpTfOilTpExHi = TRUE and HQV_E_TfOilTpExHi = TRUE"", ""until"": ""HQV_XH_TfOil < PH_TfOilTpRstOp""}"
1120,SwC_TfOilTpSn,"Max traction power shall be limited to [PX_TfOilTpSnPMax] % and event 'No working oil temperature measuring' shall be indicated when no oil temperature measuring is valid.
","if(PAV_VH_TfOil1 = FALSE and PAV_VH_TfOil2 = FALSE)
then(XX_TfOilTpSnPMax = PX_TfOilTpSnPMax and HQV_E_TfOilTpSn = TRUE)","{""if"": ""PAV_VH_TfOil1 = FALSE and PAV_VH_TfOil2 = FALSE"", ""then"": ""XX_TfOilTpSnPMax = PX_TfOilTpSnPMax and HQV_E_TfOilTpSn = TRUE"", ""until"": null}"
1121,SwC_TfOilTpSnDf,"Event 'Transformer oil temperature sensors differ' shall be indicated when the temperature difference between temperature sensor 1 and 2 is greater than [PH_TfOilSnDf] Â°C.
","if ((PAV_XH_TfOil1 - PAV_XH_TfOil2) > PH_TfOilSnDf ) 
then(HQV_E_TfOilTpSnDf = TRUE)","{""if"": ""(PAV_XH_TfOil1 - PAV_XH_TfOil2) > PH_TfOilSnDf"", ""then"": ""HQV_E_TfOilTpSnDf = TRUE"", ""until"": null}"
1128,SwC_TfWndTpSv,"Maximum traction power shall be limited according to a linear function and event """"Transformer winding temperature high"""" shall be indicated when the winding temperature exceeds [PH_TfWndTpHi] ÂºC.

","if( HQV_XH_TfWnd > PH_TfWndTpHi )
then( HQV_XX_TfWndTpPMax = linear function and HQV_E_TfWndTpHi = TRUE )","{""if"": ""HQV_XH_TfWnd > PH_TfWndTpHi"", ""then"": ""HQV_XX_TfWndTpPMax = linear function and HQV_E_TfWndTpHi = TRUE"", ""until"": null}"
1129,SwC_TfWndTpSv,"Maximum traction power shall be limited to max [PH_TfWndTpMax] % and event """"Transformer winding temperature too high"""" shall be indicated when the winding temperature exceeds the [PH_TfWndTpHHi] ÂºC until the temperature falls below the reset level [PH_TfWndTpRstOp] ÂºC.
","if( HQV_XH_TfOil > PH_TfWndTpHHi )
then( HQV_XX_TfWndTpPMax = PH_TfWndTpMax and HQV_E_TfWndTpHHi = TRUE )
until( HQV_XH_TfOil < PH_TfWndTpRstOp )","{""if"": ""HQV_XH_TfOil > PH_TfWndTpHHi"", ""then"": ""HQV_XX_TfWndTpPMax = PH_TfWndTpMax and HQV_E_TfWndTpHHi = TRUE"", ""until"": ""HQV_XH_TfOil < PH_TfWndTpRstOp""}"
1130,SwC_TfWndTpSv,"The AC LCB shall be opened, and event 'Transformer winding temperature extremely high' shall be indicated when the winding temperature exceeds [PH_TfWndTpExHi] ÂºC until the temperature falls below the reset level [PH_TfWndTpRstOp] ÂºC.","if( HQV_XH_TfOil > PH_TfWndTpExHi )
then( HQV_C_AcLcbOpTfWndTpExHi = TRUE and HQV_E_TfWndTpExHi = TRUE )
until( HQV_XH_TfOil < PH_TfWndTpRstOp )","{""if"": ""HQV_XH_TfOil > PH_TfWndTpExHi"", ""then"": ""HQV_C_AcLcbOpTfWndTpExHi = TRUE and HQV_E_TfWndTpExHi = TRUE"", ""until"": ""HQV_XH_TfOil < PH_TfWndTpRstOp""}"
1134,SwC_TfOilFlwSnSv,Maximum traction power shall be limited to [PX_TfOilFlwPMax] % and event 'Transformer oil flow sensor fault' shall be indicated when oil flow is detected while the oil pump is stopped.,"if( CI_DI_S_TfOilFlw = TRUE and CI_DI_S_TfOilPmp = FALSE )
then( HQV_XX_TfOilFlwSnPMax = PX_TfOilFlwPMax and HQV_E_TfOilFlwSn = TRUE )","{""if"": ""CI_DI_S_TfOilFlw = TRUE and CI_DI_S_TfOilPmp = FALSE"", ""then"": ""HQV_XX_TfOilFlwSnPMax = PX_TfOilFlwPMax and HQV_E_TfOilFlwSn = TRUE"", ""until"": null}"
1136,SwC_TfOilFlwSnSv,"AC LCB shall be opened, and the transformer shall be isolated and event 'Transformer oil flow sensor fault' shall be indicated when oil flow is detected while the oil pump is stopped.
","if( CI_DI_S_TfOilFlw = TRUE and CI_DI_S_TfOilPmp = FALSE )
then( HQV_C_AcLcbOpTfOilFlwSn = TRUE and HQV_C_IslTfOilFlwSn = TRUE and HQV_E_TfOilFlwSn = TRUE )","{""if"": ""CI_DI_S_TfOilFlw = TRUE and CI_DI_S_TfOilPmp = FALSE"", ""then"": ""HQV_C_AcLcbOpTfOilFlwSn = TRUE and HQV_C_IslTfOilFlwSn = TRUE and HQV_E_TfOilFlwSn = TRUE"", ""until"": null}"
